run,mcfp_time,myalg_time,mcfp_throughput,myalg_throughput,compare_ratio
1,0.197902,0.000754,78.26,54.00,0.6900
2,0.191060,0.000643,63.05,74.00,1.1737
3,0.189884,0.000726,83.24,84.00,1.0091
4,40.486525,0.000704,80.71,82.00,1.0159
5,0.182935,0.000473,74.39,42.00,0.5646
6,0.180509,0.000716,80.00,80.00,1.0000
7,0.188252,0.000732,73.64,77.00,1.0457
8,6.565382,0.000521,84.33,76.00,0.9012
9,0.183659,0.000622,80.00,80.00,1.0000
10,6.960008,0.000473,54.20,40.00,0.7380
11,0.190143,0.000654,84.00,84.00,1.0000
12,0.187817,0.000507,80.00,32.00,0.4000
13,0.206105,0.000587,73.10,73.00,0.9986
14,0.189066,0.000485,76.35,41.00,0.5370
15,0.184944,0.000649,58.24,71.00,1.2192
16,0.196015,0.000623,70.59,65.00,0.9208
17,0.184923,0.000539,85.00,85.00,1.0000
18,0.184836,0.000722,80.95,83.00,1.0253
19,0.190941,0.000576,80.00,60.00,0.7500
20,0.193244,0.000458,76.62,57.00,0.7439
21,0.192539,0.000646,66.06,73.00,1.1050
22,0.184318,0.000553,63.12,60.00,0.9505
23,0.185454,0.000568,91.00,91.00,1.0000
24,0.191212,0.000652,80.00,66.00,0.8250
25,6.827321,0.000544,54.60,50.00,0.9157
26,7.513853,0.000633,84.67,79.00,0.9331
27,0.195096,0.000710,76.19,63.00,0.8269
28,0.183563,0.000576,86.00,86.00,1.0000
29,0.185510,0.000482,71.87,54.00,0.7514
30,0.198424,0.000575,60.59,75.00,1.2379
31,0.176149,0.000546,87.00,87.00,1.0000
32,0.178660,0.000564,74.00,74.00,1.0000
33,6.744387,0.000698,59.26,63.00,1.0631
34,0.206161,0.000478,62.79,40.00,0.6370
35,7.515670,0.000614,59.67,51.00,0.8547
36,0.195932,0.000745,74.13,62.00,0.8364
37,7.900495,0.000650,66.43,56.00,0.8430
38,6.424718,0.000528,60.00,57.00,0.9500
39,0.185516,0.000534,93.00,93.00,1.0000
40,6.874650,0.000540,50.13,59.00,1.1769
41,0.180473,0.000571,72.00,58.00,0.8056
42,0.188581,0.000693,73.33,65.00,0.8864
43,0.189740,0.000634,79.11,67.00,0.8469
44,0.182767,0.000630,74.62,85.00,1.1392
45,0.175979,0.000544,83.00,83.00,1.0000
46,0.192015,0.000710,81.50,87.00,1.0675
47,0.189642,0.000548,92.00,92.00,1.0000
48,0.190431,0.000867,105.00,103.00,0.9810
49,0.193402,0.000489,73.00,55.00,0.7534
50,0.177527,0.000663,85.00,85.00,1.0000
51,7.259122,0.000488,58.36,50.00,0.8567
52,0.192926,0.000562,79.00,79.00,1.0000
53,0.185758,0.000636,79.00,79.00,1.0000
54,7.169781,0.000574,60.00,60.00,1.0000
55,0.190676,0.000696,74.00,74.00,1.0000
56,0.194387,0.000751,63.09,64.00,1.0144
57,0.195889,0.000693,78.71,67.00,0.8512
58,0.187824,0.000627,83.00,83.00,1.0000
59,0.187893,0.000586,84.00,72.00,0.8571
60,0.199882,0.000641,91.00,91.00,1.0000
61,0.215438,0.000626,78.18,71.00,0.9081
62,0.193033,0.000657,83.27,76.00,0.9127
63,7.168152,0.000700,62.11,55.00,0.8855
64,0.211399,0.000620,89.00,89.00,1.0000
65,0.188953,0.000622,94.00,80.00,0.8511
66,0.186952,0.000749,83.48,90.00,1.0781
67,0.203572,0.000693,72.56,62.00,0.8545
68,0.183207,0.000495,59.78,42.00,0.7026
69,0.195580,0.000713,69.33,68.00,0.9808
70,0.182968,0.000616,72.00,72.00,1.0000
71,0.200092,0.000660,88.37,77.00,0.8713
72,0.201367,0.000695,67.56,55.00,0.8141
73,0.200890,0.000618,78.89,76.00,0.9634
74,0.207711,0.000577,76.52,54.00,0.7057
75,6.856714,0.000559,57.39,52.00,0.9061
76,0.195244,0.000579,75.45,54.00,0.7157
77,0.192678,0.000581,92.00,92.00,1.0000
78,0.198408,0.000528,80.00,57.00,0.7125
79,0.195244,0.000541,59.10,72.00,1.2182
80,0.191658,0.000713,76.34,62.00,0.8121
81,0.192350,0.000590,75.31,56.00,0.7436
82,8.567805,0.000607,53.12,61.00,1.1482
83,0.218750,0.000704,85.33,91.00,1.0664
84,0.224756,0.000630,71.00,71.00,1.0000
85,0.199453,0.000452,79.05,35.00,0.4428
86,0.196360,0.000615,78.43,89.00,1.1347
87,0.179623,0.000629,82.00,82.00,1.0000
88,0.182766,0.000580,76.00,76.00,1.0000
89,10.063372,0.000644,76.36,70.00,0.9167
90,0.194255,0.000532,80.05,54.00,0.6746
91,0.198428,0.000705,75.56,65.00,0.8603
92,0.186260,0.000589,89.00,89.00,1.0000
93,5.073415,0.000679,78.11,81.00,1.0370
94,0.181274,0.000532,82.00,82.00,1.0000
95,0.197007,0.000633,78.46,77.00,0.9814
96,0.181880,0.000556,89.00,89.00,1.0000
97,0.191027,0.000638,79.00,79.00,1.0000
98,0.190599,0.000664,59.70,73.00,1.2227
99,0.196520,0.000582,61.64,70.00,1.1356
100,6.560563,0.000586,87.70,73.00,0.8324
